Question,Correct_Answer,Incorrect_Answer_1,Incorrect_Answer_2,Incorrect_Answer_3
我們一起去過哪個國家公園？,阿卡迪亞國家公園,大煙山國家公園,謝南多厄國家公園,大沼澤地國家公園
"從我們相識到結婚那天，我們一共花了多少個小時在一起？（聊天、視訊通話、線下見面）",,,,
丹尼去過幾次迪士尼郵輪？,5,3,4,7
伊萊娜還沒有去過哪些州？,夏威夷和俄勒岡,懷俄明和德州,佛羅里達和新墨西哥,密西根和猶他
我們的蜜月會去哪裡？,哥斯大黎加,夏威夷,聖露西亞,日本
我們第一次約會吃了什麼？,越南河粉,壽司,義大利麵,塔可
我們最喜歡的季節是？,秋天,夏天,春天,冬天
我們的身高相差多少英吋？,7英吋,5英吋,6英吋,8英吋
我們最喜歡一起做的活動是什麼？,在公園散步,,,
丹尼是在哪裡求婚的？,高線公園,中央公園,丹波區,她家
丹尼小時候想成為什麼？,老師,飛行員,海豚訓練師,工程師
伊萊娜小時候想成為什麼？,海豚訓練師,老師,護士,廚師
我們一起看的第一部電影是什麼？,腦筋急轉彎2,魔法壞女巫,海洋奇緣2,大力士
我們一起看的第一部百老匯演出是什麼？,阿拉丁,漢密爾頓,獅子王,哈利・波特
我們一起健行過多少次？,,,,
我們參觀過多少個婚禮場地？,,,,
我們一起參加過多少場婚禮？,5,3,4,6
丹尼第一次為伊萊娜手寫的東西是什麼？,明信片,信件,生日卡片,誓言
伊萊娜第一次為丹尼手寫的東西是什麼？,生日卡片,明信片,慰問卡,
我們將住在哪裡？,史泰登島,澤西市,曼哈頓,布魯克林
以下哪一項在我們的願望清單中排名最高？,極光,東南亞,瑞士阿爾卑斯,
我們第一支舞的歌曲叫什麼名字？,Anyone,,,
